feature,coefficient,abs_coefficient
v1_confidence,0.36393956192796395,0.36393956192796395
v1_is_attack,0.36102998627717564,0.36102998627717564
text_length,0.3443977830437392,0.3443977830437392
normalized_length,0.34423473033418855,0.34423473033418855
entropy,0.27852963388773666,0.27852963388773666
v3_is_attack,0.2014126607991979,0.2014126607991979
avg_word_len,0.17739302966976914,0.17739302966976914
uppercase_ratio,0.15030925613566803,0.15030925613566803
max_digit_run,0.14596578767803997,0.14596578767803997
v2_confidence,0.13988335071955615,0.13988335071955615
v2_is_attack,0.13988315313262048,0.13988315313262048
rule_role_confusion,0.13395754555154404,0.13395754555154404
space_ratio,-0.09792770804245864,0.09792770804245864
rule_instruction_override,0.07802201107532529,0.07802201107532529
v3_confidence,0.07422572923694959,0.07422572923694959
mixed_script_ratio,0.06730350538192234,0.06730350538192234
zwj_count,0.057700893694392644,0.057700893694392644
symbol_density,-0.01057534510795202,0.01057534510795202
digit_ratio,0.009843148379218267,0.009843148379218267
mapped_confusables,0.0,0.0
rule_urgency,0.0,0.0
rule_delimiter,0.0,0.0
mapping_applied,0.0,0.0
rule_uncommon_unicode,0.0,0.0
rule_payload_split,0.0,0.0
rule_formatting,0.0,0.0
rule_multilingual,0.0,0.0
